id,name,current_category,new_category
1848,"Precise Plumbing & Electrical Adelaide","Roof Leak Repair Contractors","Commercial Plumbers"
1851,"Dux Hot Water System","Roof Leak Repair Contractors","Hot Water System Contractors"
1853,"Hot Water Plumber","Roof Leak Repair Contractors","Commercial Plumbers"
1859,"Festival State Plumbing & Maintenance Pty Ltd","Roof Leak Repair Contractors","Commercial Plumbers"
1862,"Southern District Plumbing Services","Roof Leak Repair Contractors","Commercial Plumbers"
1864,"the roofing group oz pty Ltd","Roof Leak Repair Contractors","Roofing Contractors"
1869,"Roof Painting WA","Roof Leak Repair Contractors","Painters"
1873,"Morris Bros Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1874,"Top Hat Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1878,"sos-roofing.com.au","Roof Leak Repair Contractors","Roofing Contractors"
1879,"Total Roofing Solutions WA Pty Ltd","Roof Leak Repair Contractors","Roofing Contractors"
1883,"Perth City Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1884,"Perth Roofing Company Pty Ltd","Roof Leak Repair Contractors","Roofing Contractors"
1886,"Tut Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1888,"Arid Roofing Services","Roof Leak Repair Contractors","Roofing Contractors"
1896,"Nationwide Roofing Pty Ltd","Roof Leak Repair Contractors","Roofing Contractors"
1903,"Multi-Run Roofing Pty Ltd","Box Gutter Contractors","Roofing Contractors"
1909,"City & Coast Roofing & Guttering","Box Gutter Contractors","Roofing Contractors"
1916,"Advanced roofing & home improvements","Box Gutter Contractors","Roofing Contractors"
1922,"Above All Guttering & Roofing","Box Gutter Contractors","Roofing Contractors"
1923,"Dynamic Roofing","Box Gutter Contractors","Roofing Contractors"
1925,"Brisbane Roofing and Guttering","Box Gutter Contractors","Roofing Contractors"
1927,"Steeline Roofing Products","Box Gutter Contractors","Metal Roofing Contractors"
1936,"PLB stone masonry","Cladding Contractors","Stonemasons"
1970,"Sydney Renderers & Painters","Renderers","Painters"
1986,"Lawler Plastering and Rendering","Renderers","Plasterers"
1988,"Cement Rendering Sydney Contractors","Render Repair Contractors","Renderers"
1995,"Arc Plastering","Renderers","Plasterers"
2007,"Trueline Solid Plastering","Renderers","Plasterers"
2012,"J and J Allan Solid Plastering","Renderers","Plasterers"
2032,"Winsulation Double Glazing","Glaziers","Window Replacement Contractors"
2075,"D & C Staircases","Balustrade Contractors","Staircase Contractors"
2099,"Balanar Steel Fabricators Pty Ltd","Balustrade Contractors","Steel Fabricators"
2101,"Ron Thompson Staircases","Balustrade Contractors","Staircase Contractors"
