id,name,current_category
5962,"Australia Diamond Contractors","Remedial Contractors"
5998,"Switched On Energy Solutions","Remedial Contractors"
5999,"Ionics Energy","Remedial Contractors"
6003,"Energy Buster","Remedial Contractors"
6005,"Exergy Power","Remedial Contractors"
6006,"Living Energy Solutions","Remedial Contractors"
6007,"Green Thinking","Remedial Contractors"
6010,"Commercial Energy Solutions","Remedial Contractors"
6013,"Southern Cross Protection","Remedial Contractors"
6017,"MSA Safety Products Australia","Remedial Contractors"
6022,"Riedel Services Pty Ltd","Remedial Contractors"
6023,"Audio Alarm Vision Pty Ltd","Remedial Contractors"
6024,"Corporate Alarm Services","Remedial Contractors"
6026,"Tecport","Remedial Contractors"
6053,"Edmonds","Remedial Contractors"
6054,"Premium Appliance Installs","Remedial Contractors"
6056,"Air Diffusion Agencies","Remedial Contractors"
6057,"Holyoake Pty Ltd","Remedial Contractors"
6058,"Air Diffusion Agencies Pty Ltd","Remedial Contractors"
6093,"On The Button","Remedial Contractors"
6095,"Adelaide Doors &amp Grilles Pty Ltd","Remedial Contractors"
6096,"IN-DOORS PTY LTD","Remedial Contractors"
6097,"B & D Doors","Remedial Contractors"
6098,"Firmadoor","Remedial Contractors"
6099,"B&D","Remedial Contractors"
6100,"Total Automatics","Remedial Contractors"
6103,"Ejay Installations","Remedial Contractors"
6107,"Intervac","Remedial Contractors"
6108,"Architectural Hardware & Doors Pty Ltd","Remedial Contractors"
6109,"Mercorella and Co","Remedial Contractors"
6390,"Ringabin","Remedial Contractors"
6391,"Handyman Harry","Remedial Contractors"
6392,"Keep Clean Mini Bins","Remedial Contractors"
6397,"Schmaal Contractors","Remedial Contractors"
6398,"Thrifty Mini Bins","Remedial Contractors"
6399,"Scrapaway","Remedial Contractors"
6402,"Breakaway Waste","Remedial Contractors"
6403,"Clean Up Bins","Remedial Contractors"
6404,"Eades Bob'Catt & Tipper Contractors","Remedial Contractors"
6517,"Diagrind","Remedial Contractors"
6518,"Bay Hire","Remedial Contractors"
6519,"Diamond Contractors Pty Ltd","Remedial Contractors"
6545,"Hniat P A & S J","Remedial Contractors"
6547,"Home Efficiency Group","Remedial Contractors"
6548,"Degree C Pty Ltd","Remedial Contractors"
6549,"Innovative Electrical","Remedial Contractors"
6550,"Powercom Systems Pty Ltd","Remedial Contractors"
6552,"Albatross Electrical","Remedial Contractors"
6554,"B & A Dwyer Pty Ltd","Remedial Contractors"
6555,"OzSpy Hobart","Remedial Contractors"
6557,"Alarm Services Australia Pty Ltd","Remedial Contractors"
6558,"ISS Systems Australia","Remedial Contractors"
6559,"Pacific Communications","Remedial Contractors"
6560,"In The Loop (Tas) Pty Ltd","Remedial Contractors"
6562,"Phillip Barker Electrical Services","Remedial Contractors"
6563,"Watchguard Pty Ltd","Remedial Contractors"
6564,"OPSEC SERVICES","Remedial Contractors"
6571,"Pellet Fires Tasmania","Remedial Contractors"
6572,"Leemac-Ducted Rangehoods","Remedial Contractors"
6725,"Aalan Nichols","Remedial Contractors"
6726,"Lucky Mao","Remedial Contractors"
6727,"Bert Smets","Remedial Contractors"
6728,"R & D Garden Service","Remedial Contractors"
6731,"Skip 2 U","Remedial Contractors"
6736,"Coastline Building Co","Remedial Contractors"
7931,"SuperStruct.","Remedial Contractors"
7934,"A & A Contractors","Remedial Contractors"
7935,"Canberra Building Solutions","Remedial Contractors"
7936,"Advanced Structural Designs","Remedial Contractors"
7938,"Cord Civil","Remedial Contractors"
7942,"Baxter Engineering","Remedial Contractors"
7944,"Valleywolf Building Solutions","Remedial Contractors"
7945,"Rising Sun Building And Construction","Remedial Contractors"
7946,"Major Consultancy - Engineers in Darwin","Remedial Contractors"
7947,"Swiss Tech Constructions Darwin","Remedial Contractors"
7948,"WTD Constructions","Remedial Contractors"
7958,"NS Constructions NT Pty Ltd (NSCON)","Remedial Contractors"
7959,"Northco Constructions","Remedial Contractors"
7961,"Florance Electrical","Remedial Contractors"
7965,"NS Constructions NT Pty Ltd","Remedial Contractors"
7967,"Forrest Building Co.","Remedial Contractors"
7968,"GPA Engineering","Remedial Contractors"
7969,"CMAC Engineering","Remedial Contractors"
7971,"ABBFAB","Remedial Contractors"
7972,"Precision Concrete Works NT","Remedial Contractors"
7975,"Northern Maritime & Industrial Services","Remedial Contractors"
7977,"Asphalt Construction NT","Remedial Contractors"
7979,"Industry Maintenance & Construction Pty Ltd","Remedial Contractors"
7981,"Voyager Trailers","Remedial Contractors"
7985,"Australian Concrete Repairs PTY LTD","Remedial Contractors"
7987,"Aussie Concrete Repair","Remedial Contractors"
7988,"Concrete Resurfacing Sydney NSW","Remedial Contractors"
7989,"FCS Concrete Repairs","Remedial Contractors"
8000,"AMA Concrete","Remedial Contractors"
8001,"Renucrete Decorative Concrete, Concrete Polishing and Concrete Repairs in Sydney","Remedial Contractors"
8002,"Streamline Concrete Patching","Remedial Contractors"
8003,"Australian Concrete Pty Ltd","Remedial Contractors"
8005,"Bunnings Alexandria","Remedial Contractors"
8006,"RMK contracting Pty Ltd","Remedial Contractors"
8008,"British Concrete","Remedial Contractors"
8009,"Raise and Relevel","Remedial Contractors"
8010,"Inspire Concrete Group","Remedial Contractors"
8011,"Luxury Crete Spray Crete","Remedial Contractors"
8013,"CrownCrete","Remedial Contractors"
8017,"Concretech One","Remedial Contractors"
8020,"A-1 Concrete Services Pty Ltd","Remedial Contractors"
8021,"CS Formwork Contractors Sydney","Remedial Contractors"
8025,"BiM Remedial Sydney","Remedial Contractors"
8027,"Royal Concrete Resurfacing","Remedial Contractors"
8029,"Concrete Engineering Solutions","Remedial Contractors"
8030,"Practical Concrete Solutions PTY LTD","Remedial Contractors"
8031,"City Concrete Sydney","Remedial Contractors"
8032,"Fluid Building Services Pty Ltd","Remedial Contractors"
8033,"Hills District Concrete Resurfacing","Remedial Contractors"
8034,"CCS Concrete Construction Solutions","Remedial Contractors"
8039,"RCW Group Keysbourough | Concrete Repairs Melbourne","Remedial Contractors"
8040,"Concrete Grinding Melbourne","Remedial Contractors"
8041,"Master Contractors Melbourne","Remedial Contractors"
8043,"F.K.R. Constructions","Remedial Contractors"
8044,"Buildfix®","Remedial Contractors"
8045,"CCR Australia","Remedial Contractors"
8046,"Confix Australia PTY LTD","Remedial Contractors"
8049,"Melbourne Concrete Driveways","Remedial Contractors"
8050,"My Concrete Creations","Remedial Contractors"
8051,"Melbourne Concrete Removal","Remedial Contractors"
8053,"Nazcrete","Remedial Contractors"
8054,"C. Daniels Foundations P/L","Remedial Contractors"
8058,"Premium Concrete Resurfacing Melbourne","Remedial Contractors"
8059,"Concrete by Bayleaf","Remedial Contractors"
8060,"Concrete Grinding Melbourne Wide","Remedial Contractors"
8061,"Concrete Floor Renovations - Industrial & Commercial Concrete Specialists","Remedial Contractors"
8065,"Vic concrete polished services","Remedial Contractors"
8066,"Urban Concrete Solutions","Remedial Contractors"
8067,"Concrete Works Melbourne Pty Ltd","Remedial Contractors"
8071,"Grey Army Pty Ltd","Remedial Contractors"
8074,"Happy Concrete","Remedial Contractors"
8075,"Easy Concrete Supply Melbourne","Remedial Contractors"
8076,"CGC, Concrete Grinding Concepts","Remedial Contractors"
8077,"Melbourne Concrete Co PTY Ltd.","Remedial Contractors"
8078,"Concrete Floor Renovations","Remedial Contractors"
8080,"Spray Pave Melbourne","Remedial Contractors"
8082,"Ryan's Concrete Repairs, Brisbane","Remedial Contractors"
8084,"Confirma | Concrete Remediation & Structural Repair","Remedial Contractors"
8086,"CRS Concrete Repair Specialist","Remedial Contractors"
8087,"Reformed Concrete Services","Remedial Contractors"
8090,"Cemento Concrete Services","Remedial Contractors"
