id,name,current_category
512,"McLardy McShane Intercharge Pty Ltd","Strata Insurance Brokers"
513,"Austbrokers ABS","Strata Insurance Brokers"
514,"Westcourt General Insurance Brokers","Strata Insurance Brokers"
518,"Xypex Australia","Waterproofing Suppliers"
519,"Ardex Australia Pty Ltd","Waterproofing Suppliers"
522,"Seymour Building Supplies","Concrete Repair Suppliers"
523,"Hume Building Products - Alexandria","Concrete Repair Suppliers"
524,"Euro Abrasives","Concrete Repair Suppliers"
525,"North Shore Cement & Sand Pty Ltd -","Concrete Repair Suppliers"
526,"Stramit Building Products","Concrete Repair Suppliers"
528,"AAA Mr Rubbish","Remedial Contractors"
532,"Santo Engineering","Structural Engineers"
533,"Ultimate Consulting Engineers","Structural Engineers"
534,"TN DESIGN","Structural Engineers"
535,"Skilled Design Consultants","Structural Engineers"
537,"Grand Structures Pty Ltd","Structural Engineers"
538,"Jomil Engineering Pty Ltd","Structural Engineers"
539,"Structural Melbourne","Structural Engineers"
540,"Residential Structures Pty Ltd","Structural Engineers"
543,"Gardner Group Pty Ltd","Remedial Consultants"
544,"Themeski Building Design","Remedial Consultants"
545,"Contract Check","Remedial Consultants"
546,"Buildwise Projects","Remedial Consultants"
547,"Verstand Group Pty. Ltd.","Quantity Surveyors"
548,"Slattery Australia Pty Ltd","Quantity Surveyors"
549,"Prudent Projects","Quantity Surveyors"
550,"Zinc Cost Management Pty Ltd","Quantity Surveyors"
551,"DrawDown Partners Pty Ltd","Quantity Surveyors"
553,"R J Vaughan & Associates","Quantity Surveyors"
554,"Mayfield Body Corporate Managers","Strata Managers"
555,"Infinity Corp - Owners Corporation Management","Strata Managers"
556,"Property Investment Services","Strata Managers"
557,"Body Corporate Services","Strata Managers"
558,"Whittles","Strata Managers"
559,"Kingston Management Group","Strata Managers"
560,"Victoria Body Corporate Services Pty Ltd","Strata Managers"
561,"Body Corporate Guardians Pty Ltd","Strata Managers"
562,"Business Innovations Group","Project Managers"
563,"Subconnect Group Pty Limited","Project Managers"
564,"Semz Property Group","Project Managers"
565,"Perpetual Projects Pvt Ltd","Project Managers"
566,"Johnstaff Projects Pty Ltd","Project Managers"
569,"Baracon","Project Managers"
570,"Biotech Engineering Pty Ltd","Project Managers"
571,"Independent Project Analysis","Project Managers"
572,"Watson Moss Growcott Acoustics Pty Ltd","Consultants & Practitioners"
574,"Tech-Dry","Licensed Waterproofers"
576,"Balcony Shower Repairs","Licensed Waterproofers"
577,"Stone Care and Repairs","Licensed Waterproofers"
578,"Megasealed Bathrooms & Balconies Inner Melbourne","Licensed Waterproofers"
585,"Plumblux Pty Ltd","Leak Detection Specialists"
593,"One Stop Media","Roof Leak Repair Contractors"
596,"Guttercraft Melbourne","Box Gutter Contractors"
597,"The Melbourne Guttering Company","Box Gutter Contractors"
599,"AAA All Seasons Guttering","Box Gutter Contractors"
602,"Windows 1","Window Replacement Contractors"
603,"Architectural Window Systems P/L","Window Replacement Contractors"
604,"Quick Glasso Man","Glaziers"
605,"CBD Glass Co.","Glaziers"
606,"A AAA Fast Glass 24 hrs/7 Days","Glaziers"
607,"David Glass","Glaziers"
608,"Heritage Glass Products (AUST) Pty Ltd","Glaziers"
609,"G 4 Glass","Glaziers"
610,"Curtis Glass","Glaziers"
611,"Dwyer Brick Fences","Bricklayers"
612,"All G Bricks","Bricklayers"
614,"Dorset Reblocking Pty Ltd","Brick Repointing Contractors"
616,"Select Access Pty Ltd","Scaffold Companies"
622,"Barry Evans Lifting World","Height Safety Contractors"
624,"Roof Extenda PTY Ltd.","Height Safety Contractors"
626,"Guardian Building Inspections","Drone Inspection"
627,"Environmental Health Solutions (EHS)","Asbestos Consultants"
628,"Australasian Technical Services (VIC) Pty Ltd","Asbestos Consultants"
629,"Australian Safer Environment & Technology Pty Ltd","Asbestos Consultants"
630,"Reads Waste","Asbestos Consultants"
632,"Geelong Prestige Cleaning Company","Mould Remediation Contractors"
638,"Indeco Australia Pty Ltd","Selective Demolition Contractors"
639,"Griffo Sawing","Remedial Contractors"
641,"Ultra-Grind","Remedial Contractors"
643,"Celtic Cut and Core","Remedial Contractors"
644,"All City Sawing and Drilling","Remedial Contractors"
645,"Direct Cut Pty Ltd","Remedial Contractors"
646,"Citywide Tree Services","Drainage Contractors"
647,"RMC Reservoir Maintenance Contractors Pty Ltd","Drainage Contractors"
649,"Jetstream Drain Cleaning Pty Ltd","Drainage Contractors"
651,"P F & L Collins Contractors Pty Ltd","Drainage Contractors"
652,"Greenwise Electrical","Commercial Electricians"
654,"Laser Electrical Melbourne CBD","Commercial Electricians"
655,"Medical Electrical Inspections","Commercial Electricians"
656,"Electrx","Commercial Electricians"
657,"Motion Property","Commercial Electricians"
660,"Powershop Australia Pty Ltd","Remedial Contractors"
661,"Enphase Energy Australia Pty Ltd","Remedial Contractors"
662,"Green Home Green Planet","Remedial Contractors"
663,"Energy Locals","Remedial Contractors"
664,"Corrective Services Pty Ltd","Remedial Contractors"
667,"AG Security Group","Security System Installers"
668,"Milestone Systems Australia Pty Ltd","Remedial Contractors"
670,"ComfyFirst","Air Conditioning Contractors"
674,"ENERGYECOHUB","Air Conditioning Contractors"
678,"Blain-Air","Air Conditioning Contractors"
681,"Kaleya Filters Pty Ltd","Remedial Contractors"
684,"Fire protection specialists","Fire Sprinkler Contractors"
685,"Australia Fire Protection - Fire Protection Equipment in Melbourne","Fire Sprinkler Contractors"
686,"Victorian Fire Protection","Fire Sprinkler Contractors"
687,"Leemark Fire Protection","Fire Sprinkler Contractors"
688,"Statewide Fire Protection","Fire Sprinkler Contractors"
689,"Fire Protection Association Australia","Fire Sprinkler Contractors"
690,"Jetfire Fire Protection Pty Ltd","Fire Sprinkler Contractors"
691,"Jaycon Fire Protection Pty Ltd","Fire Sprinkler Contractors"
692,"Lock  Smith & Barrel","Locksmiths"
695,"Car Key Replacement Melbourne","Locksmiths"
697,"Aus Safes","Locksmiths"
698,"The Lock Boss","Locksmiths"
702,"Volks Audi","Remedial Contractors"
703,"West Coast Windows","Remedial Contractors"
710,"PSA Products Pty Ltd","Remedial Contractors"
711,"Genie Systems","Remedial Contractors"
712,"Edac; Electronics Australasia Pty Ltd","Remedial Contractors"
713,"Thryv Data","Remedial Contractors"
714,"CAN Automotion Pty Ltd","Remedial Contractors"
715,"Djirra","Remedial Contractors"
716,"Djirra - Aboriginal Family Violence Supports","Remedial Contractors"
717,"500 Collins Street","Remedial Contractors"
718,"Micom Security Pty Ltd","Security System Installers"
719,"Vertimax Australia","Lift Maintenance Contractors"
720,"Melbourne Elevators Pty Ltd","Lift Maintenance Contractors"
721,"Elevated Accounting","Lift Maintenance Contractors"
722,"Elevate Chiropractic","Lift Maintenance Contractors"
723,"Platinum Elevators","Lift Maintenance Contractors"
724,"Domesca Homes","Lift Maintenance Contractors"
725,"Access Worx","Lift Maintenance Contractors"
726,"High Access Hire","Lift Maintenance Contractors"
727,"Whitfield Rose Elevator Consultants","Lift Maintenance Contractors"
728,"Mobile Tower Hire Pty Ltd","Lift Maintenance Contractors"
729,"Council To Homeless Persons","Lift Maintenance Contractors"
731,"Local Tasker","Tilers"
732,"Christo Industries","Painters"
735,"Paint Melbourne","Painters"
737,"Grange Banks Commercial Coatings","Painters"
739,"Dulux Australia","Painters"
740,"Studio PP","Painters"
742,"Armour Coat Resin Flooring","Epoxy Flooring Contractors"
743,"Say Floors Pty Ltd","Epoxy Flooring Contractors"
744,"Karma Flooring","Epoxy Flooring Contractors"
746,"Capital Restoration","Carpenters"
747,"One Facilities Management Pty Ltd","Carpenters"
748,"Boodle Concepts","Landscape Contractors"
749,"Streetscapes","Landscape Contractors"
750,"All Tree Services","Tree Services / Arborists"
751,"Cut It Right Tree Service","Tree Services / Arborists"
752,"Able Tree Services","Tree Services / Arborists"
753,"Redback Tree Services","Tree Services / Arborists"
754,"A.B Arbor Care","Tree Services / Arborists"
755,"Arbortrim Training & Consultancy","Tree Services / Arborists"
756,"Beneficial Tree Care","Tree Services / Arborists"
758,"Stan Close Trees, Garden & Irrigation Services","Irrigation Contractors"
759,"Wave Irrigation","Irrigation Contractors"
760,"Sunshower Online","Irrigation Contractors"
761,"Holman Industries","Irrigation Contractors"
762,"Bauer GmbH (Australia) Pty. Ltd.","Irrigation Contractors"
763,"Think Water Melbourne","Irrigation Contractors"
764,"VicClean Pty Ltd","Commercial Cleaners"
765,"Northern Office Cleaning Melbourne","Commercial Cleaners"
766,"Local Cleaning Services in Melbourne, Victoria, Australia","Commercial Cleaners"
767,"Clean Group - Melbourne","Commercial Cleaners"
768,"Yellowfin Robotic Solutions","Commercial Cleaners"
769,"Lipton Cleaning Services Pty Ltd","Commercial Cleaners"
770,"Sparkle Cleaning Services Melbourne & Perth","Commercial Cleaners"
771,"AW Cleaning Services Melbourne","Commercial Cleaners"
772,"Tick Right Services","Commercial Cleaners"
773,"iWindowsCBD","High-Rise Window Cleaning (Rope Access)"
776,"Naked Windows","High-Rise Window Cleaning (Rope Access)"
777,"Priority Cleaning Service","High-Rise Window Cleaning (Rope Access)"
779,"Realm Property Cleaning Services","High-Rise Window Cleaning (Rope Access)"
781,"House Cleaning Avondale Heights","High-Rise Window Cleaning (Rope Access)"
782,"Multiflex Facility Services","Pressure Washing Contractors"
783,"Yellow Brick Road","Pressure Washing Contractors"
784,"Kleenit","Pressure Washing Contractors"
785,"Pol Cleaning","Pressure Washing Contractors"
786,"AATACH Specialised Services","Pressure Washing Contractors"
787,"Veli Cleaning Services","Pressure Washing Contractors"
794,"Exopest","Pest Control Contractors"
797,"Bed Bug Barrier","Pest Control Contractors"
801,"Mahl Lawyers - Business, Building & Property Law Experts","Building Defect Lawyers"
802,"Mahons with Yuncken & Yuncken Lawyers","Building Defect Lawyers"
803,"Pearce Webster Dugdales","Building Defect Lawyers"
804,"PSC Insurance Brokers","Strata Insurance Brokers"
805,"Aus Insurance Services Pty Ltd","Strata Insurance Brokers"
806,"Morgan Insurance Brokers","Strata Insurance Brokers"
807,"McKenzie Ross Insurance Brokers","Strata Insurance Brokers"
808,"HWA Insurance Brokers","Strata Insurance Brokers"
809,"SMART Business Insurance Pty Ltd","Strata Insurance Brokers"
810,"Modulus Insurance","Strata Insurance Brokers"
811,"Pasco Construction Solutions","Waterproofing Suppliers"
812,"Concrete Protection Pty Ltd","Waterproofing Suppliers"
813,"No Dirt Restoration Services","Waterproofing Suppliers"
814,"Harwyn","Concrete Repair Suppliers"
815,"DeMar H Hardware","Concrete Repair Suppliers"
816,"Sayers R & D Plaster Products","Concrete Repair Suppliers"
817,"Ararat Building & Garden Supplies","Concrete Repair Suppliers"
818,"Plyco","Concrete Repair Suppliers"
819,"Stone Age Stone Pty Ltd","Concrete Repair Suppliers"
820,"Yanying (Australia) Trading","Concrete Repair Suppliers"
821,"Procast Australia","Concrete Repair Suppliers"
822,"elZinc","Concrete Repair Suppliers"
823,"Masda International Trade Co Pty Ltd","Concrete Repair Suppliers"
824,"Alexander Building And Sand Supply Pty Ltd","Concrete Repair Suppliers"
825,"James Hardie Building Products","Concrete Repair Suppliers"
826,"Dynamic Composite Technologies Pty Ltd","Concrete Repair Suppliers"
828,"Bike Removals","Remedial Contractors"
829,"CST Consulting Engineers","Structural Engineers"
830,"Arthur Meng Consulting Engineers","Structural Engineers"
831,"Booth Engineers & Associates Pty Ltd","Structural Engineers"
832,"Blackstorm Engineers","Structural Engineers"
833,"Roseland Engineers Pty. Ltd.","Structural Engineers"
835,"Wood Research and Development","Structural Engineers"
836,"Redbacks Engineering","Structural Engineers"
837,"SLN Consulting Pty Ltd","Structural Engineers"
838,"SDS STRUCTURAL DETAILING SERVICE","Structural Engineers"
839,"Roof Cert Qld","Remedial Consultants"
840,"Brett Walker Constructions","Remedial Consultants"
841,"Nam-Concept Pty Ltd","Remedial Consultants"
843,"Roof Inspection Reports","Remedial Consultants"
844,"Ford Consulting","Remedial Consultants"
845,"DRHomes","Remedial Consultants"
